date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:54	4041/4041	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%221f17d700cb0a98c68ad34c9f5dbc0e99%22	https://page6.nicepage.io/robots.txt		(from )
16:55:54	40256/40256	---M-Z	200	added ('OK')	text/html	etag:W/%2211ea250b1824d9730aa24c7f22bb85c8%22	https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6	E:/website/web%20with%20review/company%20web/page6.nicepage.io/index8bd0.html	(from )
16:55:57	621770/621770	---MCZ	200	added ('OK')	text/css	etag:W/%22f6e28670b8a82a52dbb23512b7cf56f8%22	http://capp.nicepage.com/6fb8b88c13bbf87b46b432ba420580e16eea067a/nicepage.css	E:/website/web%20with%20review/company%20web/capp.nicepage.com/6fb8b88c13bbf87b46b432ba420580e16eea067a/nicepage.css	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:55:57	25674/25674	---M-Z	200	added ('OK')	text/css	etag:W/%22a1006f6554e6ec1fdc452db3d65f3e7c%22	https://page6.nicepage.io/Home.css	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Home.css	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:02	298491/298491	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22c2aaaa8edb03142ea72c8cf3c93271e3%22	http://capp.nicepage.com/6fb8b88c13bbf87b46b432ba420580e16eea067a/nicepage.js	E:/website/web%20with%20review/company%20web/capp.nicepage.com/6fb8b88c13bbf87b46b432ba420580e16eea067a/nicepage.js	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:03	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	E:/website/web%20with%20review/company%20web/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:03	815306/815306	---M-Z	200	added ('OK')	text/css	etag:W/%220fcb8b3a1ca562cc2bcca6a520ecaeec%22	https://page6.nicepage.io/nicepage-site.css	E:/website/web%20with%20review/company%20web/page6.nicepage.io/nicepage-site.css	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:03	5183/5183	---M--	200	added ('OK')	image/png	etag:%2275e29d99b33a75a60246bca62b38f0e0%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/c9dac52d8ef245b495f04b6529261c001.png	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/c9dac52d8ef245b495f04b6529261c001.png	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:04	40201/40201	---M-Z	200	added ('OK')	text/html	etag:W/%2284e3af3fb5d08e0e40ddab26b27e96f9%22	https://page6.nicepage.io/Home.html	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Home.html	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:04	40886/40886	---M-Z	200	added ('OK')	text/html	etag:W/%22deed480d2d0f62788d4dfd1d91df4138%22	https://page6.nicepage.io/Reviews.html	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Reviews.html	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:04	61448/61448	---M-Z	200	added ('OK')	text/html	etag:W/%226b6daeb3f344a386db07041affd20ba4%22	https://page6.nicepage.io/Decorating.html	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Decorating.html	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:04	51910/51910	---M-Z	200	added ('OK')	text/html	etag:W/%22650d3efd95b974bd4a77cba2d00ea079%22	https://page6.nicepage.io/Flooring.html	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Flooring.html	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:04	41612/41612	---M-Z	200	added ('OK')	text/html	etag:W/%2219ce0f0d4d0673d940c750478198de2c%22	https://page6.nicepage.io/Bathroom.html	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Bathroom.html	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:05	7340/7340	---M--	200	added ('OK')	image/png	etag:%224158d4f749201f8e2f41c07254077860%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/2871269-f1771644.png	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/2871269-f1771644.png	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:05	4063/4063	---M--	200	added ('OK')	image/png	etag:%222b23c50ab1d5faaef9cff13bc5c415a1%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/422315-c4814722.png	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/422315-c4814722.png	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:05	7148/7148	---M--	200	added ('OK')	image/png	etag:%229dc70e76a7285c97cf1c4de78789eadf%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/3130222-83520a39.png	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/3130222-83520a39.png	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:05	5416/5416	---M--	200	added ('OK')	image/png	etag:%22335d61c1848922a8d911b8fb35d604c2%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/4003176-af1f11ec.png	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/4003176-af1f11ec.png	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:06	4252/4252	---M--	200	added ('OK')	image/png	etag:%221d7e2707981e2e72009ed31eb3997a77%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/733585.png	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/733585.png	(from https://page6.nicepage.io/?version=38e9665e-d984-4439-8e2a-75900c77d057&uid=fda9a3a1-6e92-437a-9c4f-e2f6ab17e5a6)
16:56:07	94874/94874	---M--	200	added ('OK')	image/jpeg	etag:%2298fb5e917602b598c5126d3227e5a6df%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/e41ccf0d3fcdcddaaecd25f2821c4ad659202e6958635214091bc6227c75e080d58334c6950f4236f7dcb0688fd11d79fe4d831a7937ae8334c72c_1280.jpg	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/e41ccf0d3fcdcddaaecd25f2821c4ad659202e6958635214091bc6227c75e080d58334c6950f4236f7dcb0688fd11d79fe4d831a7937ae8334c72c_1280.jpg	(from https://page6.nicepage.io/Home.css)
16:56:07	772192/772192	---M--	200	added ('OK')	image/jpeg	etag:%2287e9d1f7dec6832933f49ed2c9a0e60d%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/267590551-01.jpeg	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/267590551-01.jpg	(from https://page6.nicepage.io/Home.css)
16:56:07	158035/158035	---M--	200	added ('OK')	image/jpeg	etag:%22452f622aef9ae3141a5c31d4cc389987%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/part-male-construction-worker1.jpg	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/part-male-construction-worker1.jpg	(from https://page6.nicepage.io/Home.css)
16:56:17	69231/69231	---M--	200	added ('OK')	image/jpeg	etag:%2206f0a8a5ae88af0cf13e5bd8813c2225%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/e5f16f3c5460e6e77594c867191035a482c69adb1e35ca5812844a4870fa61bd76965e6128f93dc3aa8c1ede42df9b9de15ff519c17135c847233f_1280.jpg	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/e5f16f3c5460e6e77594c867191035a482c69adb1e35ca5812844a4870fa61bd76965e6128f93dc3aa8c1ede42df9b9de15ff519c17135c847233f_1280.jpg	(from https://page6.nicepage.io/Home.css)
16:56:21	100307/100307	---M--	200	added ('OK')	image/jpeg	etag:%220ea30956727708b067c4d4282ac5abb9%22	http://images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/612228ed7af6556a85858da8/44.jpg	E:/website/web%20with%20review/company%20web/images01.nicepagecdn.com/c461c07a441a5d220e8feb1a/612228ed7af6556a85858da8/44.jpg	(from https://page6.nicepage.io/Home.css)
16:56:22	17354/17354	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%221f17d700cb0a98c68ad34c9f5dbc0e99%22	https://page6.nicepage.io/Content/BundledScripts/	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/6fb8b88c13bbf87b46b432ba420580e16eea067a/nicepage.js)
16:56:23	5034/5034	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22f8b743d4c70f92952af16fb7d0e804ed%22	https://page6.nicepage.io/signature.png	E:/website/web%20with%20review/company%20web/page6.nicepage.io/signature.png	(from http://capp.nicepage.com/6fb8b88c13bbf87b46b432ba420580e16eea067a/nicepage.js)
16:56:24	17354/17354	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%221f17d700cb0a98c68ad34c9f5dbc0e99%22	https://page6.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	E:/website/web%20with%20review/company%20web/page6.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/6fb8b88c13bbf87b46b432ba420580e16eea067a/nicepage.js)
16:56:25	17877/17877	---M-Z	200	added ('OK')	text/css	etag:W/%22600a7195c91b722b9886b5f97b1e7806%22	https://page6.nicepage.io/Reviews.css	E:/website/web%20with%20review/company%20web/page6.nicepage.io/Reviews.css	(from https://page6.nicepage.io/Reviews.html)
16:56:25	106291/106291	---M--	200	added ('OK')	image/jpeg	etag:%22d3799adf4839f7275957d21f779f5834%22	https://assets.nicepagecdn.com/4ce1eba4/5160369/images/retro-black-alarm-clock-dissolving-into-little-particles-time-can-return-never-wait-anyone-time-management-concept1.jpg	E:/website/web%20with%20review/company%20web/assets.nicepagecdn.com/4ce1eba4/5160369/images/retro-black-alarm-clock-dissolving-into-little-particles-time-can-return-never-wait-anyone-time-management-concept1.jpg	(from https://page6.nicepage.io/Home.css)
